ID,abbreviation,question,categories
563,Rwamanja ldrs intro,"Welcome & thank u for joining U-report. You are now a member. With U-report, ur able to speak out on what’s happening in ur community. ALL SMSs to 8500 are FREE",""
559,CODES-NYENDO,CODES ekulamusako! Twanyumizako e Nyendo mu gw'okubiiri. Mwawandikira abe byobulamu ku disitulikiti nga 3 March okusa eddwaliro ku HC-III? Damu Y-Yee; N-Nedda,"yes,no,unknown"
552,MICS TR Invite apologies,We are busy at a workshop this week and cannot meet you for training. We will therefore invite you next week for m-MICS.Apologies. Sarah,""
562,Rwamanja intro,"Karibu na ahsante kwa kujiunga kwenye U-ripoti. kwakupitia Uripot,unaweza ukatoa maoni kuhusu kijiji chako. KUJIUNGA NI BURE U-ripoti 8500 SAUTI YAKO INA MAANA",""
553,WB UPPET students3 results,Thank you for your response. Last term 44% of students said they used science kits/tools and 52% said they did not.,""
551,Youth Day,Dear U-reporter! How best can the youth of Uganda get out of poverty? Hon. Jacob Oboth,"Agricultural Diversification,Engagement in Productive Activities,Self Employment/ Entreprenuership,Accessibility to Soft loans,Acquisition of Practical Skills,Accountability & Transparency,Other"
569,District Coordinators,"Dear Coordinators, Kindly update UNICEF on the number of U-reporters who have confirmed their availability.Please respond with only the number in each district","yes,no,unknown"
565,VAC NDP,"Dear U-reporter, are you aware of any alternatives to corporal punishment as a way of discipline? Kindly reply with YES or NO","unknown,yes,no"
579,Health service delivery,"We want 2 help improve service delivery at your health facilities. When u are unhappy with health services received, do you report complaints? Reply with YES/NO","yes,no,unknown"
589,MMICS,"Dear coordinators, kindly be informed that the survey has been postponed to January 2014 due to unforeseeable administrative delays. We will keep you posted ",""
566,VAC NDP gp two,"Dear U-reporter, are you aware of any alternatives to corporal punishment as a way of discipline? Kindly reply with YES or NO ","yes,no,unknown"
584,WBIHS MeTA-NO,43% of U-reporters said they do not report complaints even when unhappy with health service delivery. Tell us what prevents you from reporting ur complaints?,"Fear of outcomes,Ignorance on reporting,No accountability and transparency,No solutions on previous complaints,Others"
567,Show promo,"Dear U-reporter, be sure to catch the U-report show starting to air today on NTV 8.30pm. Tell us what you think, your voice matters!!",""
568,CODES-Butenga,"CODES ekulamusiza ko! Twanyumizako wamu e Butenga omwezi gwokubiiri. Ekifo kye ddwaliro mwakiterezza, era eddwaliro lyatandika okutambula? Damu Y-Yee; N-Nedda ","yes,no,unknown"
571,CODES Kyango,CODES ekulamusiza ko! Twanyumizako wamu kusomero ly'abaana e Kyango omwezi gwokubiiri. Mwafuna ekifo kye ddwaliro ekikirizibwa? Damu Y-Yee; N-Nedda ,"yes,no,unknown"
572,MP-Antenatal care,Why do most men shun accompanying their wives for antenatal care to Health units? Hon. Asupasa Isiko MP Busiki county.,""
578,MP-dropout,Why are the youth in Kotido who have dropped out of school not willing to go for vocational training? Hon. LOKII PETER ABRAHAMS 	,""
577,MP-delivery,What can b done 2 ensure increased % of mothers' delivering at health centres in West Budama South? Currently its less than 3 mothers out of 10.Hon Jacob Oboth ,""
576,MP-youth,What should the leaders do to address the problems faced by the youths in Bulamogi/Kaliro district? Hon. Lubogo Kenneth ,""
582,Tv show E02,Please be reminded to catch the U-report show tonight on NTV at 8.30pm. The topic is youth entrepreneurship  ,""
585,PBEA-Teacher absenteeism ,"Hello U-reporter, what should be done to reduce teacher absenteeism in primary and secondary schools?",""
586,CODES-BUKANGA,CODES ekulamusiza ko nate! Twanyumizako wamu kusomero e Kyaziza omwezi gwokubiiri. Mwali mutandise okuzzimba ekifo ky'eddwaliro. Mwakimala? Damu Y-Yee; N-Nedda,"yes,no,unknown"
607,CPS training,"Uhakiki wa watoto wote bila ya kuambatana na kutengwa yaanza leo saa tano asubuhi, hivyo CPCs wote wanaitwa kushiriki, ahsante.",""
590,PBEA-Teacher absenteeism results,"U-reporters agree tht teachers should be motivated & schools regularly inspected 2 stop absenteeism. U & 231,000 U-reporters r changing Uganda, ur Voice Matters",""
592,PBEA-Safety,"Dear U-reporter, for a more peaceful  Uganda in 5 years, what do u suggest for a safer society? a) Good Education b) Job opportunities c) Other (please specify)","Job Opportunities,Good Governance,Other,Accountability & Better Service Delivery,Good Education"
591,Tv show E02 ,Please be reminded to watch episode 2 of the U-report show on NTV tonight at 8.30pm. The topic is Violence against children. Enjoy & let us know what you think,""
598,WB-UPPET Teachers 6,"Hello special teacher U-reporter.  If you did not use textbooks in your teaching at school last term, please tell us why? ","Irrelevant to new curriculum,Limited access to textbooks,Textbooks are not available,Textbooks are not sufficient,Others"
605,eMTCT 3,The Gov't of Uganda & stakeholders announce the eMTCT campaign on Mon 16th Sept at Bomah Grounds Moroto at 9am. Let's join hands to realize an HIV free nation,""
603,eMTCT 3,Have an HIV free baby by delivering at a health facility to avoid mother-to-child transmission.,""
600,eMTCT,The First Ladies of Africa are campaigning to eliminate mother to child HIV transmission. Did u know that HIV+ women who take ARVs can deliver HIV- free babies?,"yes,no,unknown"
604,Tv show E03,"Dear U-reporter, the 3rd episode of the U-report show is on tonight at 8.30pm NTV. Today's topic is climate change. Please tune in ",""
583,WBIHS MeTA-YES,Dear U-reporter! 49% of you said you report complaints when you are unhappy with health service delivery. Who do you report your complaints to?,"Health inspectors,Health workers,Local leaders,U-report,Police,Other"
601,eMTCT 2,Have an HIV- free baby by testing together at a health facility. Follow the Doctor's instructions by taking ARVs daily if HIV+ & attending ante-natal care,""
606,Disability challenges ,What challenges and problems do you think children and youth living with disabilities face in your communities?,"Sexual Abuse,Discrimination and Stigma,Abuse/Deprivation of rights,Difficulties in accesing areas of interest,Lack self esteem,Impoverished,Other"
597,PBEA-Safety results,42% and 35% of U-reporters said Job Opportunities and Improved Education System respectively are needed most for Uganda to be safer & more peaceful in 5 years,""
634,WB UPPET students 5,"Hello U-reporter! In the last term, did your lessons/performance improve since your school received new textbooks & science kits/tools? Please reply with Yes/No","yes,no,unknown"
608,Polio 2,"U-reporters, we are wondering; Do you know the dates for the upcoming polio campaign? A) 21st to 23rd Sept B) 28th to 30th Sept or C) Don't know",""
613,Tv show E04,Please watch the 4th episode of the U-report show on NTV tonight at 8.30pm. Today's focus is Young people living with disabilities,""
612,Polio 3,"A house to house Polio campaign will take place in ur district on 21, 22 & 23rd Sep. Please ensure all children under 5 years r home to receive the Polio drops",""
633,WB UPPET teachers,Dear U-reporter! If you teach science subjects at school. Did you use the science kits/tools for teaching in the classroom last term? Please reply with Yes/No,"yes,no,unknown"
611,Chanjo ya polio ,"Tarehe 21-23 Septemba 2013, kutakuwa na chanjo ya polio kwa watoto wenye umri wa miaka 0-5 hivyo wazazi tafadhali muweke watoto nyumbani",""
610,Polio campaign,From 21-23 Sep 2013 there will be a polio vaccination exercise for children aged 0-5 years in Nkoma sub-county (Rwamwanja). Parents please keep children home,""
627,WB UPPET students 4,"Thank you 4 your response on the previous question.  Last term 71% of students said, they saw their teachers’ using textbooks in class and 22% said they did not",""
624,Scouts against terrorism,"How can we as Scouts support security against Terrorism? 
Chief Scout",""
623,MP WORKSHOP,"Dear Hon. Did you find the half day workshop on U-report useful? Yes or No
UPFC ","yes,no,unknown"
625,Kiboga MP poll ,"Dear U-reporters, are gov't school teachers in Kiboga District still on strike? Please tell us the situation so we can share with the area MP Hon. Kabajo James ",""
619,WB-UPPET teachers, Hello U-reporter did the new textbooks or science kits/tools help you to improve your lesson plans last term? Please reply with Yes or No ,"yes,no,unknown"
618,WB UPPET Std,Hello U-reporter. Did you see your teachers using textbooks in the classroom last term? Please reply with Yes or No.,"yes,no,unknown"
637,Sharing back,"Thru U-report, thousands know about the youth fund, rape cases reported have been solved & justice promoted. We'll share more, keep engaged, ur voice matters! ",""
622,Disability poll solutions,"Most U-reporters said, youths with disabilities mainly face challenges of sexual abuse, denial of rights & neglect. What can be done to solve these challenges? ",""
636,CODES-Bukwambi,CODES ekulamusiza ko! Twanyumizako wamu ku kyalo e Nanso B mu mwezi gwa mai. Mweyama okusonda muzimbe eddwaliro ly'omuluka. Mwatandiika? Damu Y-Yee; N-Nedda ,"yes,no,unknown"
626,WB UPPET teachers,Thank you 4 reporting on the previous poll. Last term 74% of teachers said the new textbooks helped them to improve their lesson plans and 17% said they did not,""
632,Tv show E05,"Hi U-reporter, be sure to watch the 5th episode of the U-report show tonight at 8.30pm on NTV. Topic today is teenage pregnancy and early marriage. Enjoy :)  ",""
635,CODES-TERERE,CODES ekulamusiza ko! Twanyumizako awo kusomero e Terere. Mweyama okulambula obunyonjo mu maaka buli lwakutano olusemba mumwezi. Mwatandika? Damu Y-Yee; N-Nedda,"yes,no,unknown"
643,Polio 4,Who should get polio drops during polio campaign? a) all children under 5 b) all children over 5 c) adults or d) I don't know,"A,B,C,D,Other"
642,IDGC,New government adolescent girl index shows Karamoja most vulnerable place for girls; western Uganda least. Do you agree?,""
640,codes namalira,CODES ekulamusiza ko! Twanyumizako awo kusomero e Namaliri omwezi gwomukaga. Mwatandika emisomo gy'ebyobulamu n'obuyonjo ku byalo buli mwezi? Damu Y-Yee; N-Neda,"yes,no,unknown"
